Date	Time	Movie Name	Release Year
Dec 04, 2020	03:15 PM IST	Tenet	2020
Dec 10, 2020	11:30 PM IST	Knives Out	2019
Jan 12, 2021	11:36 PM IST	Its Kind of a Funny Story	2010
Feb 28, 2021	10:58 AM IST	The Silence of The Lambs	1991
Mar 01, 2021	01:31 AM IST	Friday	1995
Mar 01, 2021	03:13 AM IST	Donnie Darko	2001
Mar 02, 2021	01:20 AM IST	Predestination	2014
Mar 03, 2021	12:47 AM IST	Panic Room	2002
Mar 03, 2021	12:41 AM IST	Reservoir Dogs	1992
Mar 04, 2021	02:37 AM IST	Bohemian Rhapsody	2018
Mar 05, 2021	12:15 AM IST	Ford vs Ferrari	2019
Mar 05, 2021	03:50 AM IST	Pulp Fiction	1994
Mar 06, 2021	01:27 AM IST	Bombshell	2019
Mar 07, 2021	05:46 AM IST	Flatliners	2017
Mar 12, 2021	10:23 AM IST	The Spectacular Now	2013
Mar 11, 2021	03:10 AM IST	Django Unchained	2012
Mar 11, 2021	11:58 PM IST	The Fast and the Furious	2001
Mar 12, 2021	11:34 PM IST	2 Fast 2 Furious	2003
Mar 13, 2021	01:31 AM IST	The Fast and the Furious Tokyo Drift	2006
Mar 14, 2021	02:10 AM IST	The Perks of Being a Wallflower	2013
Mar 14, 2021	03:48 PM IST	Scott Pilgrim vs the World	2010
Mar 15, 2021	12:14 AM IST	Fast and Furious	2009
Mar 16, 2021	01:50 AM IST	Fast Five	2011
Mar 17, 2021	12:18 AM IST	Fast and Furious 6	2013
Mar 17, 2021	02:38 AM IST	Furious 7	2015
Mar 18, 2021	12:22 AM IST	The Fate of the Furious	2017
Mar 18, 2021	02:22 AM IST	Captain Fantastic	2016
Mar 20, 2021	01:49 AM IST	Wilson	2017
Mar 21, 2021	12:30 AM IST	John Carter	2012
Mar 21, 2021	02:58 AM IST	The Greatest Showman	2017
Mar 22, 2021	11:54 PM IST	The Godfather	1972
Mar 24, 2021	02:59 AM IST	The Godfather Part II	1974
Mar 24, 2021	03:08 PM IST	The Ghost Writer	2010
Mar 24, 2021	10:35 PM IST	Zack Snyders Justice League	2021
Mar 25, 2021	03:27 PM IST	Collateral Beauty	2016
Mar 26, 2021	12:43 AM IST	The Accountant	2016
Mar 29, 2021	02:36 PM IST	Assassins Creed	2016
Mar 30, 2021	01:00 AM IST	The Matchbreaker	2016
Mar 30, 2021	04:39 PM IST	Catch Me if You Can	2002
Mar 31, 2021	01:30 AM IST	Up	2009
Mar 31, 2021	05:09 PM IST	Inside Man	2006
